Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:  44%|████▍     | 127/290 [00:00<00:00, 1241.80it/s]Loading weights:  90%|█████████ | 261/290 [00:00<00:00, 1297.60it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 1394.58it/s]
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 16.671, 'seconds_per_generation': 16.671, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_0_5b_instruct', 'mode': 'self_consistency', 'dataset': 'mmlu', 'max_new_tokens': 256, 'samples': 1, 'generations': 3, 'num_paths': 3, 'seconds_total': 50.5, 'seconds_per_generation': 16.833, 'final_answer_rate': 0.6667, 'short_answer_rate': 0.6667, 'truncated_rate': 0.3333, 'sample_accuracy': 0.0}
Loading weights:   0%|          | 0/338 [00:00<?, ?it/s]Loading weights:  25%|██▍       | 83/338 [00:00<00:00, 825.03it/s]Loading weights:  49%|████▉     | 166/338 [00:00<00:00, 825.71it/s]Loading weights:  74%|███████▍  | 251/338 [00:00<00:00, 818.76it/s]Loading weights: 100%|██████████| 338/338 [00:00<00:00, 889.24it/s]
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 49.201, 'seconds_per_generation': 49.201, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'zero_shot', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 55.481, 'seconds_per_generation': 55.481, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 1.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 44.345, 'seconds_per_generation': 44.345, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 1.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'zero_shot', 'dataset': 'csqa', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 44.174, 'seconds_per_generation': 44.174, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 1.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 192, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 50.509, 'seconds_per_generation': 50.509, 'final_answer_rate': 0.0, 'short_answer_rate': 0.0, 'truncated_rate': 1.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'zero_shot', 'dataset': 'mmlu', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 62.165, 'seconds_per_generation': 62.165, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'few_shot', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 78.846, 'seconds_per_generation': 78.846, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'few_shot', 'dataset': 'csqa', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 39.054, 'seconds_per_generation': 39.054, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 1.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'few_shot', 'dataset': 'mmlu', 'max_new_tokens': 256, 'samples': 1, 'generations': 1, 'num_paths': 1, 'seconds_total': 46.933, 'seconds_per_generation': 46.933, 'final_answer_rate': 1.0, 'short_answer_rate': 1.0, 'truncated_rate': 0.0, 'sample_accuracy': 0.0}
{'model': 'qwen2_5_1_5b_instruct', 'mode': 'self_consistency', 'dataset': 'gsm8k', 'max_new_tokens': 256, 'samples': 1, 'generations': 3, 'num_paths': 3, 'seconds_total': 172.13, 'seconds_per_generation': 57.377, 'final_answer_rate': 0.3333, 'short_answer_rate': 0.3333, 'truncated_rate': 0.3333, 'sample_accuracy': 0.0}
